date,time,Ax,Ay,Az,Gx,Gy,Gz
2025-02-07,14:15:13.00,-0.88,-0.48,0.09,-26.43,-11.29,-4.52
2025-02-07,14:15:13.50,-0.80,-0.60,-0.19,-44.37,0.06,-23.80
2025-02-07,14:15:14.00,-0.76,-0.63,-0.04,60.79,5.07,6.16
2025-02-07,14:15:14.50,-0.76,-0.71,0.08,15.38,-7.69,-7.87
2025-02-07,14:15:15.00,-0.70,-0.73,0.07,6.35,-9.46,3.36
2025-02-07,14:15:15.50,-0.67,-0.78,-0.11,-22.83,3.66,-5.13
2025-02-07,14:15:16.00,-0.70,-0.67,-0.29,-35.40,-4.21,4.39
2025-02-07,14:15:16.50,-0.64,-0.65,-0.46,-26.31,13.55,-7.26
2025-02-07,14:15:17.00,-0.60,-0.63,-0.52,-0.61,-1.71,-1.59
2025-02-07,14:15:17.50,-0.58,-0.66,-0.52,0.18,2.01,-2.44
2025-02-07,14:15:18.00,-0.57,-0.65,-0.53,0.06,0.31,-0.98
2025-02-07,14:15:18.50,-0.56,-0.66,-0.58,1.46,0.18,-0.79
2025-02-07,14:15:19.00,-0.51,-0.66,-0.59,-3.11,-0.18,-2.38
2025-02-07,14:15:19.50,-0.45,-0.69,-0.59,-3.48,1.40,-1.89
2025-02-07,14:15:20.00,-0.45,-0.67,-0.61,2.44,-0.12,-1.89
2025-02-07,14:15:20.50,-0.43,-0.67,-0.61,0.12,0.31,-1.53
2025-02-07,14:15:21.00,-0.44,-0.67,-0.62,-0.18,-0.37,-0.24
2025-02-07,14:15:21.50,-0.44,-0.68,-0.62,-0.18,-0.85,0.24
2025-02-07,14:15:22.00,-0.44,-0.66,-0.62,0.73,-0.24,-0.55
2025-02-07,14:15:22.50,-0.43,-0.67,-0.62,-0.55,-0.49,-0.73
2025-02-07,14:15:23.00,-0.44,-0.67,-0.62,0.06,-0.79,-0.18
2025-02-07,14:15:23.50,-0.44,-0.66,-0.62,-0.43,-0.98,1.04
2025-02-07,14:15:24.00,-0.43,-0.66,-0.63,1.10,2.50,-3.42
2025-02-07,14:15:24.50,-0.43,-0.68,-0.63,-0.12,2.20,-1.16
2025-02-07,14:15:25.00,-0.42,-0.67,-0.64,-1.28,-1.46,-0.49
2025-02-07,14:15:25.50,-0.43,-0.68,-0.64,0.00,0.12,-0.37
2025-02-07,14:15:26.00,-0.42,-0.66,-0.62,0.67,-0.43,-1.34
2025-02-07,14:15:26.50,-0.42,-0.66,-0.62,-0.49,-0.18,0.31
2025-02-07,14:15:27.00,-0.42,-0.67,-0.63,0.06,-0.43,-0.85
2025-02-07,14:15:27.50,-0.42,-0.66,-0.62,-0.49,-0.12,0.43
2025-02-07,14:15:28.00,-0.41,-0.67,-0.64,-0.43,-1.04,0.37
2025-02-07,14:15:28.50,-0.41,-0.67,-0.63,0.06,-0.12,-0.73
2025-02-07,14:15:29.00,-0.41,-0.68,-0.63,-0.43,-0.67,-0.61
2025-02-07,14:15:29.50,-0.41,-0.68,-0.62,0.18,-0.43,-0.37
2025-02-07,14:15:30.00,-0.41,-0.67,-0.62,-0.55,-0.12,0.00
2025-02-07,14:15:30.50,-0.41,-0.68,-0.62,-0.43,-0.18,-1.28
2025-02-07,14:15:31.00,-0.40,-0.67,-0.64,0.55,-0.92,-0.49
2025-02-07,14:15:31.50,-0.40,-0.66,-0.61,0.00,-1.59,-2.01
2025-02-07,14:15:32.00,-0.41,-0.68,-0.62,0.67,-0.67,-0.92
2025-02-07,14:15:32.50,-0.40,-0.68,-0.65,-0.37,1.65,-0.67
2025-02-07,14:15:33.00,-0.38,-0.63,-0.66,-3.30,2.08,-4.03
2025-02-07,14:15:33.50,-0.33,-0.63,-0.66,0.00,1.59,-1.04
2025-02-07,14:15:34.00,-0.30,-0.71,-0.69,10.13,8.85,7.26
2025-02-07,14:15:34.50,-0.22,-0.80,-0.63,15.50,26.12,-3.91
2025-02-07,14:15:35.00,-0.14,-0.80,-0.57,-5.19,0.00,-6.35
2025-02-07,14:15:35.50,-0.10,-0.76,-0.69,-0.67,-4.82,-7.69
2025-02-07,14:15:36.00,-0.15,-0.85,-0.51,8.24,-38.27,-21.06
2025-02-07,14:15:36.50,-0.12,-0.98,-0.12,111.45,9.89,-12.27
2025-02-07,14:15:37.00,-0.09,-0.39,0.86,155.03,-36.80,36.93
2025-02-07,14:15:37.50,0.07,-0.04,1.00,3.42,2.69,2.38
2025-02-07,14:15:38.00,0.10,0.04,1.05,-22.89,6.71,0.67
2025-02-07,14:15:38.50,0.05,-0.20,0.99,-21.12,1.95,-12.70
2025-02-07,14:15:39.00,0.05,-0.54,0.84,-78.37,-7.87,10.93
2025-02-07,14:15:39.50,0.07,-0.74,0.66,-46.26,-18.86,18.68
2025-02-07,14:15:40.00,-0.05,-0.96,0.35,-51.70,3.05,9.64
2025-02-07,14:15:40.50,-0.16,-0.99,-0.13,-46.51,-3.42,11.47
2025-02-07,14:15:41.00,-0.17,-0.91,-0.44,-20.14,6.41,-1.22
2025-02-07,14:15:41.50,-0.14,-0.80,-0.57,-11.84,4.27,-0.18
2025-02-07,14:15:42.00,-0.11,-0.67,-0.74,-25.82,2.08,2.62
2025-02-07,14:15:42.50,-0.10,-0.39,-0.90,-30.64,1.04,2.87
2025-02-07,14:15:43.00,-0.11,-0.14,-0.98,-15.20,-0.73,1.71
2025-02-07,14:15:43.50,-0.11,-0.06,-0.99,-12.94,1.16,1.95
2025-02-07,14:15:44.00,-0.10,0.06,-0.99,-19.71,1.71,2.81
2025-02-07,14:15:44.50,-0.10,0.22,-0.96,-14.83,-1.71,1.40
2025-02-07,14:15:45.00,-0.13,0.43,-0.88,-20.02,-7.63,3.23
2025-02-07,14:15:45.50,-0.13,0.49,-0.87,16.05,3.60,-2.69
2025-02-07,14:15:46.00,-0.12,0.19,-0.96,0.98,4.03,2.01
2025-02-07,14:15:46.50,-0.12,-0.22,-0.97,80.38,0.73,1.22
2025-02-07,14:15:47.00,-0.13,-0.74,-0.67,29.72,0.18,-0.49
2025-02-07,14:15:47.50,-0.14,-0.96,-0.28,35.40,-2.44,-1.46
2025-02-07,14:15:48.00,-0.16,-0.98,0.28,215.39,13.00,2.50
2025-02-07,14:15:48.50,-0.14,-0.69,0.73,44.62,-4.46,-4.03
2025-02-07,14:15:49.00,-0.12,-0.44,0.88,17.09,-1.89,-2.99
2025-02-07,14:15:49.50,-0.14,-0.51,0.87,-18.80,3.36,4.64
2025-02-07,14:15:50.00,-0.16,-0.77,0.62,-31.13,-5.07,-0.73
2025-02-07,14:15:50.50,-0.14,-0.95,0.33,-16.85,-1.59,-0.18
2025-02-07,14:15:51.00,-0.12,-1.00,-0.08,-41.26,1.89,-1.95
2025-02-07,14:15:51.50,-0.10,-0.95,-0.36,-24.96,1.89,-1.10
2025-02-07,14:15:52.00,-0.08,-0.81,-0.60,-22.71,1.65,-1.04
2025-02-07,14:15:52.50,-0.06,-0.66,-0.75,-22.22,1.77,1.28
2025-02-07,14:15:53.00,-0.06,-0.39,-0.92,-86.79,1.71,4.39
2025-02-07,14:15:53.50,-0.06,0.25,-0.98,-39.43,-3.11,2.20
2025-02-07,14:15:54.00,-0.07,0.15,-1.00,20.69,1.34,-3.60
2025-02-07,14:15:54.50,0.01,-0.19,-1.00,6.84,7.39,12.70
2025-02-07,14:15:55.00,0.13,-0.63,-0.81,99.00,-3.91,13.92
2025-02-07,14:15:55.50,0.04,-1.01,0.05,151.67,10.25,3.42
2025-02-07,14:15:56.00,-0.04,-0.47,0.92,44.25,7.32,3.30
2025-02-07,14:15:56.50,-0.11,-0.29,0.97,-40.10,-4.39,6.04
2025-02-07,14:15:57.00,-0.05,-0.68,0.80,-39.49,-11.41,1.71
2025-02-07,14:15:57.50,-0.06,-1.00,0.33,-106.14,-19.10,8.79
2025-02-07,14:15:58.00,-0.08,-0.88,-0.53,-21.85,2.56,0.92
2025-02-07,14:15:58.50,-0.14,-0.87,-0.70,-22.28,-16.11,0.67
2025-02-07,14:15:59.00,-0.19,-0.63,-0.79,44.86,5.86,-5.13
2025-02-07,14:15:59.50,-0.13,-0.84,-0.54,13.00,2.50,0.92
2025-02-07,14:16:0.00,-0.13,-0.87,-0.50,4.21,1.53,0.24
2025-02-07,14:16:0.50,-0.13,-0.88,-0.48,0.85,-0.12,-0.61
2025-02-07,14:16:1.00,-0.12,-0.89,-0.44,5.92,0.61,-0.43
2025-02-07,14:16:1.50,-0.12,-0.96,-0.33,24.60,3.78,1.34
2025-02-07,14:16:2.00,-0.12,-0.99,-0.18,8.48,-0.06,0.00
2025-02-07,14:16:2.50,-0.12,-1.01,-0.06,14.10,0.61,-0.61
2025-02-07,14:16:3.00,-0.11,-0.99,0.18,19.71,-0.85,-1.34
2025-02-07,14:16:3.50,-0.11,-0.97,0.29,9.34,0.06,-0.43
2025-02-07,14:16:4.00,-0.11,-0.95,0.33,6.10,-0.85,-1.10
2025-02-07,14:16:4.50,-0.11,-0.93,0.40,-0.43,-0.37,0.00
2025-02-07,14:16:5.00,-0.11,-0.92,0.45,3.91,-0.85,-0.49
2025-02-07,14:16:5.50,-0.11,-0.85,0.56,16.24,0.79,-1.83
2025-02-07,14:16:6.00,-0.12,-0.78,0.66,6.04,-0.67,-0.06
2025-02-07,14:16:6.50,-0.12,-0.66,0.76,16.85,0.06,-0.79
2025-02-07,14:16:7.00,-0.13,-0.53,0.87,13.73,0.06,0.06
2025-02-07,14:16:7.50,-0.13,-0.35,0.94,15.01,0.55,-0.85
2025-02-07,14:16:8.00,-0.14,-0.08,1.01,7.93,0.24,-0.98
2025-02-07,14:16:8.50,-0.14,0.10,1.01,-0.37,-0.67,-2.62
2025-02-07,14:16:9.00,-0.14,0.01,1.01,-4.09,-1.40,0.61
2025-02-07,14:16:9.50,-0.13,-0.08,1.01,-8.67,-1.34,0.37
2025-02-07,14:16:10.00,-0.13,-0.22,1.00,-2.93,-0.67,-0.18
2025-02-07,14:16:10.50,-0.12,-0.52,0.86,-42.91,-2.01,-0.18
2025-02-07,14:16:11.00,-0.11,-0.77,0.68,-28.44,-0.43,-2.69
2025-02-07,14:16:11.50,-0.09,-0.93,0.36,-30.52,-0.18,-0.73
2025-02-07,14:16:12.00,-0.08,-1.01,0.12,-22.22,-1.04,-1.59
2025-02-07,14:16:12.50,-0.07,-1.00,-0.14,-28.56,-3.36,-0.98
2025-02-07,14:16:13.00,-0.07,-0.94,-0.36,-18.92,-2.32,-0.12
2025-02-07,14:16:13.50,-0.09,-0.43,-0.89,-86.43,-8.48,-3.48
2025-02-07,14:16:14.00,-0.11,-0.37,-0.92,17.94,-2.93,-3.05
2025-02-07,14:16:14.50,-0.11,-0.52,-0.84,36.07,1.46,-1.95
2025-02-07,14:16:15.00,-0.10,-0.82,-0.56,60.30,0.55,-3.48
2025-02-07,14:16:15.50,-0.09,-1.01,-0.10,55.66,-0.55,-2.87
2025-02-07,14:16:16.00,-0.09,-1.01,0.12,19.17,0.92,0.31
2025-02-07,14:16:16.50,-0.10,-0.96,0.34,4.64,0.43,-0.12
2025-02-07,14:16:17.00,-0.10,-0.94,0.44,13.61,1.10,-1.04
2025-02-07,14:16:17.50,-0.10,-0.84,0.56,19.71,0.43,-0.55
2025-02-07,14:16:18.00,-0.11,-0.72,0.70,4.33,0.12,0.12
2025-02-07,14:16:18.50,-0.15,0.00,1.02,33.02,1.40,0.12
2025-02-07,14:16:19.00,-0.15,0.20,1.00,19.41,0.55,-1.22
2025-02-07,14:16:19.50,-0.15,0.17,0.97,-19.53,-0.24,1.04
2025-02-07,14:16:20.00,-0.15,0.08,1.00,-8.61,-0.18,-0.06
2025-02-07,14:16:20.50,-0.15,-0.00,1.01,-5.19,-0.49,0.31
2025-02-07,14:16:21.00,-0.15,-0.06,1.00,-9.46,-0.85,-0.85
2025-02-07,14:16:21.50,-0.14,-0.17,1.01,-11.54,-0.67,-0.43
2025-02-07,14:16:22.00,-0.14,-0.38,0.94,-16.11,-1.59,-1.22
2025-02-07,14:16:22.50,-0.12,-0.70,0.73,-47.18,-0.92,-2.50
2025-02-07,14:16:23.00,-0.12,-0.89,0.51,-10.86,-0.92,-1.46
2025-02-07,14:16:23.50,-0.11,-0.88,0.58,19.10,-2.99,0.55
2025-02-07,14:16:24.00,-0.12,-0.64,0.79,58.35,2.81,-1.46
2025-02-07,14:16:24.50,-0.15,-0.03,1.01,-8.85,-0.24,0.18
2025-02-07,14:16:25.00,-0.15,-0.19,0.99,1.16,-1.22,0.67
2025-02-07,14:16:25.50,-0.15,-0.15,1.01,9.58,0.49,0.24
2025-02-07,14:16:26.00,-0.15,-0.13,1.01,-0.49,-1.83,-0.67
2025-02-07,14:16:26.50,-0.15,-0.16,1.01,-12.33,0.31,0.43
2025-02-07,14:16:27.00,-0.15,-0.18,1.00,-13.18,-1.40,-0.61
2025-02-07,14:16:27.50,-0.14,-0.29,0.96,-23.38,-1.16,-1.77
2025-02-07,14:16:28.00,-0.13,-0.67,0.76,-26.92,-1.04,-1.46
2025-02-07,14:16:28.50,-0.12,-0.86,0.55,-17.88,0.43,-1.77
2025-02-07,14:16:29.00,-0.11,-0.97,0.34,-39.43,-0.49,-2.01
2025-02-07,14:16:29.50,-0.09,-1.00,-0.13,-34.06,-3.30,-0.18
2025-02-07,14:16:30.00,-0.09,-0.75,-0.65,-83.56,-6.29,1.04
2025-02-07,14:16:30.50,-0.11,-0.36,-0.92,-19.17,-2.32,-0.67
2025-02-07,14:16:31.00,-0.12,-0.24,-0.95,-3.11,-0.67,-0.43
2025-02-07,14:16:31.50,-0.12,-0.21,-0.97,-2.50,-0.18,0.67
2025-02-07,14:16:32.00,-0.12,-0.19,-0.97,0.55,-0.92,-1.10
2025-02-07,14:16:32.50,-0.12,-0.18,-0.98,-0.31,-0.55,-0.37
2025-02-07,14:16:33.00,-0.12,-0.19,-0.97,-0.24,-0.73,0.18
2025-02-07,14:16:33.50,-0.12,-0.16,-0.98,-0.31,-0.37,-0.49
2025-02-07,14:16:34.00,-0.12,-0.17,-0.97,-0.18,-0.37,-0.18
2025-02-07,14:16:34.50,-0.13,-0.19,-0.96,1.65,-0.61,-0.43
2025-02-07,14:16:35.00,-0.13,-0.18,-0.97,0.73,-0.31,-0.85
2025-02-07,14:16:35.50,-0.13,-0.20,-0.97,2.14,-0.43,-0.85
2025-02-07,14:16:36.00,-0.13,-0.26,-0.94,14.40,0.85,3.48
2025-02-07,14:16:36.50,-0.13,-0.25,-0.97,7.81,-1.04,-1.40
2025-02-07,14:16:37.00,-0.14,-0.36,-0.92,6.71,-1.10,-0.92
2025-02-07,14:16:37.50,-0.14,-0.40,-0.91,3.91,-0.73,-1.40
2025-02-07,14:16:38.00,-0.14,-0.46,-0.87,2.87,-0.12,0.00
2025-02-07,14:16:38.50,-0.14,-0.46,-0.88,0.49,-0.37,-0.43
2025-02-07,14:16:39.00,-0.14,-0.46,-0.88,0.37,-0.49,-0.12
2025-02-07,14:16:39.50,-0.14,-0.44,-0.88,-0.18,-0.49,-0.61
2025-02-07,14:16:40.00,-0.14,-0.45,-0.88,-0.37,-0.55,-0.31
2025-02-07,14:16:40.50,-0.49,-0.26,-0.76,-20.81,-86.36,-31.56
2025-02-07,14:16:41.00,-0.93,-0.10,0.04,-26.79,-68.66,15.69
2025-02-07,14:16:41.50,-1.01,-0.06,0.07,2.62,4.82,-2.99
2025-02-07,14:16:42.00,-1.01,-0.02,0.05,-0.55,-0.31,2.87
2025-02-07,14:16:42.50,-1.02,-0.02,0.04,-0.06,0.12,2.01
2025-02-07,14:16:43.00,-1.01,0.02,0.03,-0.61,-0.24,0.73
2025-02-07,14:16:43.50,-1.03,0.03,0.02,0.92,0.79,0.49
2025-02-07,14:16:44.00,-1.02,0.10,0.03,0.61,2.75,3.23
2025-02-07,14:16:44.50,-1.01,0.04,-0.01,4.09,3.78,1.22
2025-02-07,14:16:45.00,-1.01,0.05,-0.09,-13.06,5.25,2.32
2025-02-07,14:16:45.50,-1.03,0.02,-0.15,-10.07,5.92,8.24
2025-02-07,14:16:46.00,-0.83,-0.20,-0.19,72.69,53.47,-8.00
2025-02-07,14:16:46.50,0.01,-1.13,-0.08,220.83,6.59,-160.22
2025-02-07,14:16:47.00,0.66,-0.85,-0.24,-26.79,-2.99,-8.18
2025-02-07,14:16:47.50,0.91,-0.43,-0.00,2.81,53.83,-35.64
2025-02-07,14:16:48.00,0.98,0.15,0.13,0.55,6.04,-33.75
2025-02-07,14:16:48.50,0.94,0.28,0.18,0.12,0.24,6.96
2025-02-07,14:16:49.00,0.95,0.33,0.16,0.37,2.44,3.91
2025-02-07,14:16:49.50,0.91,0.27,0.12,-0.61,-2.01,-2.08
2025-02-07,14:16:50.00,1.04,-0.25,-0.03,23.01,-12.27,78.12
2025-02-07,14:16:50.50,0.69,-0.81,-0.06,-13.24,-33.57,45.41
2025-02-07,14:16:51.00,0.24,-0.91,-0.18,7.32,-5.43,1.53
2025-02-07,14:16:51.50,-0.09,-0.73,0.06,-43.40,-52.06,5.92
2025-02-07,14:16:52.00,-0.17,-1.05,-0.09,-6.41,-29.97,15.81
2025-02-07,14:16:52.50,-0.35,-0.56,-0.31,-101.44,-58.47,84.23
2025-02-07,14:16:53.00,-0.63,-0.71,-0.48,-1.77,-4.15,67.02
2025-02-07,14:16:53.50,-0.97,-0.26,-0.27,17.21,-21.85,34.36
2025-02-07,14:16:54.00,-1.01,0.14,0.09,76.11,-29.85,46.45
2025-02-07,14:16:54.50,-0.73,0.46,0.42,-1.46,-50.90,36.01
2025-02-07,14:16:55.00,-0.28,0.51,0.72,-30.15,-43.09,42.30
2025-02-07,14:16:55.50,0.16,0.32,0.96,-12.02,-22.28,3.91
2025-02-07,14:16:56.00,0.35,0.25,0.95,-3.48,6.10,1.34
2025-02-07,14:16:56.50,0.20,0.23,0.94,1.34,20.75,-11.05
2025-02-07,14:16:57.00,-0.14,0.31,1.01,1.59,37.17,-10.68
2025-02-07,14:16:57.50,-0.65,0.18,0.71,-24.90,68.48,-17.21
2025-02-07,14:16:58.00,-0.95,-0.11,0.34,-44.43,36.44,-9.40
2025-02-07,14:16:58.50,-0.97,-0.18,0.03,-59.94,36.07,12.08
2025-02-07,14:16:59.00,-0.92,-0.10,-0.40,-6.84,21.61,-4.64
2025-02-07,14:16:59.50,-0.83,-0.31,-0.47,13.98,11.23,-2.44
2025-02-07,14:17:0.00,-0.74,-0.31,-0.65,-41.02,7.02,-17.94
2025-02-07,14:17:0.50,-0.41,0.04,-0.93,-8.36,28.63,52.86
2025-02-07,14:17:1.00,-0.12,-0.24,-0.95,2.87,20.20,11.05
2025-02-07,14:17:1.50,-0.09,-0.41,-0.89,19.10,18.13,6.53
2025-02-07,14:17:2.00,0.09,-0.46,-0.88,6.16,21.73,0.67
2025-02-07,14:17:2.50,0.14,-0.60,-0.81,0.18,-12.45,-17.94
2025-02-07,14:17:3.00,0.15,-0.58,-0.88,7.02,-15.01,-21.18
2025-02-07,14:17:3.50,0.13,-0.61,-0.83,-3.23,-21.91,-36.19
2025-02-07,14:17:4.00,0.01,-0.60,-0.76,5.07,-0.43,-6.47
2025-02-07,14:17:4.50,0.02,-0.69,-0.72,0.79,-14.28,-15.44
2025-02-07,14:17:5.00,0.02,-0.64,-0.76,6.23,5.86,11.23
2025-02-07,14:17:5.50,0.00,-0.69,-0.72,2.69,4.70,-0.61
2025-02-07,14:17:6.00,-0.00,-0.65,-0.74,1.04,2.44,-1.28
2025-02-07,14:17:6.50,-0.00,-0.69,-0.72,-4.39,-7.14,-1.34
2025-02-07,14:17:7.00,-0.04,-0.66,-0.77,-18.74,-11.05,-13.67
2025-02-07,14:17:7.50,-0.07,-0.67,-0.77,1.16,-0.55,3.05
2025-02-07,14:17:8.00,-0.08,-0.67,-0.76,-2.20,-6.41,-5.13
2025-02-07,14:17:8.50,-0.10,-0.64,-0.75,1.65,0.98,-0.18
2025-02-07,14:17:9.00,-0.11,-0.68,-0.71,-0.43,-6.29,3.85
2025-02-07,14:17:9.50,-0.16,-0.69,-0.76,-4.33,-10.19,1.34
2025-02-07,14:17:10.00,-0.26,-0.64,-0.69,-2.99,1.28,-0.06
2025-02-07,14:17:10.50,-0.28,-0.63,-0.76,-8.00,-7.57,-4.39
2025-02-07,14:17:11.00,-0.30,-0.62,-0.74,-2.08,-4.21,-3.30
2025-02-07,14:17:11.50,-0.41,-0.59,-0.69,-2.14,-15.26,9.16
2025-02-07,14:17:12.00,-0.55,-0.42,-0.73,-7.45,-19.78,15.20
2025-02-07,14:17:12.50,-0.74,-0.39,-0.69,8.24,-19.90,24.41
2025-02-07,14:17:13.00,-0.92,-0.06,-0.38,-119.75,-62.87,-20.75
2025-02-07,14:17:13.50,-0.95,-0.18,0.25,-158.02,-70.62,-23.38
2025-02-07,14:17:14.00,-0.78,-0.52,0.00,-83.50,-7.93,74.52
2025-02-07,14:17:14.50,-0.79,-0.36,-0.43,87.40,54.38,-25.21
2025-02-07,14:17:15.00,-0.10,-0.82,-0.84,106.87,109.01,-32.59
2025-02-07,14:17:15.50,3.02,-3.25,-1.17,37.96,-152.10,500.00
2025-02-07,14:17:16.00,-0.14,0.05,-1.15,7.14,9.64,6.23
2025-02-07,14:17:16.50,-0.01,-0.06,-1.05,23.25,1.65,-2.50
2025-02-07,14:17:17.00,-0.07,-0.12,-1.05,-1.95,-5.25,5.49
2025-02-07,14:17:17.50,-0.30,-0.14,-1.11,-31.13,-53.53,-1.04
2025-02-07,14:17:18.00,-0.30,0.02,-1.00,43.95,61.34,112.49
2025-02-07,14:17:18.50,-0.48,0.09,-0.64,37.90,1.46,7.75
2025-02-07,14:17:19.00,-0.40,-0.07,-0.64,18.62,-12.02,60.55
2025-02-07,14:17:19.50,-0.47,0.69,-0.87,-87.65,-50.29,-128.36
2025-02-07,14:17:20.00,-0.49,0.36,-0.84,-36.87,2.69,-87.04
2025-02-07,14:17:20.50,0.16,-0.34,-0.87,18.25,127.69,67.02
2025-02-07,14:17:21.00,0.09,-0.09,-0.88,-24.90,-3.36,48.71
2025-02-07,14:17:21.50,0.10,-0.23,-0.94,-0.49,-1.46,-4.09
2025-02-07,14:17:22.00,0.13,-0.24,-0.98,-5.98,0.12,-5.74
2025-02-07,14:17:22.50,0.12,-0.27,-0.97,-4.70,-2.14,-5.37
2025-02-07,14:17:23.00,0.13,-0.25,-0.98,-1.16,-1.71,-1.71
2025-02-07,14:17:23.50,0.14,-0.26,-0.97,2.38,3.30,-0.31
2025-02-07,14:17:24.00,0.14,-0.26,-0.94,2.69,1.89,-1.83
2025-02-07,14:17:24.50,0.16,-0.30,-0.96,1.71,0.85,0.37
2025-02-07,14:17:25.00,0.16,-0.26,-0.95,2.20,0.24,-1.04
2025-02-07,14:17:25.50,0.16,-0.25,-0.93,2.69,1.10,-1.53
2025-02-07,14:17:26.00,0.19,-0.24,-0.92,-3.60,14.16,-9.83
2025-02-07,14:17:26.50,4.00,-0.85,1.50,-200.01,-1047.91,-561.16
2025-02-07,14:17:27.00,0.40,-0.21,-0.52,9.34,-14.40,279.85
2025-02-07,14:17:27.50,0.27,-0.48,-0.90,0.24,27.77,7.51
2025-02-07,14:17:28.00,0.26,-0.46,-0.84,1.71,1.77,0.31
2025-02-07,14:17:28.50,0.24,-0.50,-0.84,-0.49,-2.50,-0.73
2025-02-07,14:17:29.00,0.24,-0.50,-0.85,1.59,-3.97,1.34
2025-02-07,14:17:29.50,0.24,-0.44,-0.84,2.32,-1.46,-2.69
2025-02-07,14:17:30.00,0.33,-0.73,-0.77,36.62,40.59,51.70
2025-02-07,14:17:30.50,-0.20,-0.93,-1.00,-68.05,-156.25,103.33
2025-02-07,14:17:31.00,-0.71,0.76,0.40,-64.33,-26.37,112.43
2025-02-07,14:17:31.50,-0.56,0.43,0.64,-90.39,-29.85,-63.05
2025-02-07,14:17:32.00,0.96,-0.74,0.94,-184.14,-254.70,-277.65
2025-02-07,14:17:32.50,-0.34,-0.12,0.70,3.48,11.47,103.88
2025-02-07,14:17:33.00,0.23,0.03,0.94,-26.12,-101.75,-67.50
2025-02-07,14:17:33.50,0.35,0.16,0.84,32.10,-4.09,-48.83
2025-02-07,14:17:34.00,0.50,0.45,0.81,4.27,0.06,-3.72
2025-02-07,14:17:34.50,0.48,0.41,0.79,-11.60,-21.00,30.40
2025-02-07,14:17:35.00,0.56,0.24,0.74,-13.73,-26.49,29.11
2025-02-07,14:17:35.50,0.79,0.07,0.67,-32.10,-13.06,-20.94
2025-02-07,14:17:36.00,0.77,0.07,0.65,0.06,-4.46,8.79
2025-02-07,14:17:36.50,0.78,0.04,0.62,-4.52,-4.39,2.32
2025-02-07,14:17:37.00,0.81,-0.00,0.60,-5.00,-2.50,-1.65
2025-02-07,14:17:37.50,0.80,-0.06,0.59,-12.27,-7.39,18.01
2025-02-07,14:17:38.00,1.07,-0.36,0.48,38.33,-52.12,110.35
2025-02-07,14:17:38.50,2.28,-0.82,0.55,189.82,-147.77,202.27
2025-02-07,14:17:39.00,1.85,0.32,-0.67,1387.76,515.56,-373.60
2025-02-07,14:17:39.50,0.79,0.21,0.81,55.73,64.88,72.94
2025-02-07,14:17:40.00,0.59,-0.05,0.62,45.78,-55.79,40.71
2025-02-07,14:17:40.50,0.85,0.12,0.72,8.54,69.95,-41.69
2025-02-07,14:17:41.00,0.68,0.36,0.72,60.49,25.51,48.16
2025-02-07,14:17:41.50,0.64,0.37,0.61,-6.10,-14.77,34.18
2025-02-07,14:17:42.00,0.59,0.13,0.60,-20.63,-4.15,31.01
